"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2021","371.33","259.47","371.74","254.53","1.59B","43.65%"
"09/01/2021","258.49","244.69","266.33","236.28","1.17B","5.40%"
"08/01/2021","245.24","233.33","246.80","216.28","1.15B","7.06%"
"07/01/2021","229.07","227.97","233.33","206.82","1.35B","1.10%"
"06/01/2021","226.57","209.27","232.54","190.41","1.56B","8.71%"
"05/01/2021","208.41","234.60","235.33","182.33","1.88B","-11.87%"
"04/01/2021","236.48","229.46","260.26","219.81","2.04B","6.21%"
"03/01/2021","222.64","230.04","240.37","179.83","2.83B","-1.12%"
"02/01/2021","225.17","271.43","293.50","206.33","1.57B","-14.87%"
"01/01/2021","264.51","239.82","300.13","239.06","2.12B","12.45%"
"12/01/2020","235.22","199.20","239.57","180.40","3.59B","24.33%"
"11/01/2020","189.20","131.33","202.60","130.77","2.35B","46.27%"
"10/01/2020","129.35","146.92","155.30","126.37","2.50B","-9.55%"
"09/01/2020","143.00","167.38","167.50","109.96","5.21B","-13.91%"
"08/01/2020","166.11","96.61","166.71","91.00","4.67B","74.15%"
"07/01/2020","95.38","72.20","119.67","72.03","5.68B","32.50%"
"06/01/2020","71.99","57.20","72.51","56.94","3.84B","29.32%"
"05/01/2020","55.67","50.33","56.22","45.54","4.09B","6.79%"
"04/01/2020","52.13","33.60","57.99","29.76","5.72B","49.21%"
"03/01/2020","34.93","47.42","53.80","23.37","6.32B","-21.56%"
"02/01/2020","44.53","44.91","64.60","40.77","7.10B","2.68%"
"01/01/2020","43.37","28.30","43.53","28.11","6.12B","55.52%"
"12/01/2019","27.89","21.96","29.02","21.82","3.11B","26.79%"
"11/01/2019","22.00","21.09","24.08","20.62","2.37B","4.77%"
"10/01/2019","20.99","16.10","22.72","14.95","3.53B","30.74%"
"09/01/2019","16.06","14.94","16.90","14.56","2.05B","6.76%"
"08/01/2019","15.04","16.18","16.30","14.07","2.01B","-6.62%"
"07/01/2019","16.11","15.35","17.74","14.81","2.99B","8.12%"
"06/01/2019","14.90","12.37","15.65","11.80","3.22B","20.68%"
"05/01/2019","12.34","15.92","17.22","12.27","4.24B","-22.43%"
"04/01/2019","15.91","18.84","19.74","15.41","3.46B","-14.71%"
"03/01/2019","18.66","20.46","20.48","16.96","3.21B","-12.51%"
"02/01/2019","21.33","20.36","21.62","19.25","1.93B","4.19%"
"01/01/2019","20.47","20.41","23.47","18.62","2.63B","-7.75%"
"12/01/2018","22.19","24.00","25.30","19.61","2.20B","-5.04%"
"11/01/2018","23.37","22.55","24.45","21.67","2.00B","3.90%"
"10/01/2018","22.49","20.38","23.14","16.52","4.30B","27.40%"
"09/01/2018","17.65","19.80","21.00","16.82","2.94B","-12.23%"
"08/01/2018","20.11","19.87","25.83","19.21","4.16B","1.18%"
"07/01/2018","19.88","24.00","24.32","19.08","2.59B","-13.07%"
"06/01/2018","22.86","19.06","24.92","18.92","3.20B","20.45%"
"05/01/2018","18.98","19.57","20.87","18.23","2.33B","-3.12%"
"04/01/2018","19.59","17.08","20.63","16.31","2.86B","10.43%"
"03/01/2018","17.74","23.00","23.24","16.55","2.36B","-22.42%"
"02/01/2018","22.87","23.40","24.00","19.65","1.64B","-3.18%"
"01/01/2018","23.62","20.80","24.03","20.38","1.86B","13.80%"
"12/01/2017","20.76","20.36","23.16","20.00","1.65B","0.81%"
"11/01/2017","20.59","22.15","22.17","19.51","2.23B","-6.84%"
"10/01/2017","22.10","22.83","24.20","21.11","1.85B","-2.81%"
"09/01/2017","22.74","23.74","25.97","22.36","1.67B","-4.16%"
"08/01/2017","23.73","21.53","24.67","20.75","2.05B","10.03%"
"07/01/2017","21.56","24.68","24.76","20.21","2.72B","-10.55%"
"06/01/2017","24.11","22.93","25.80","22.28","2.79B","6.04%"
"05/01/2017","22.73","20.99","22.86","19.38","2.22B","8.58%"
"04/01/2017","20.94","19.13","20.99","18.97","1.75B","12.85%"
"03/01/2017","18.55","16.95","18.80","16.19","1.61B","11.32%"
"02/01/2017","16.67","16.87","19.16","16.13","1.79B","-0.77%"
"01/01/2017","16.80","14.32","17.23","14.06","1.51B","17.89%"
"12/01/2016","14.25","12.55","14.92","12.00","1.32B","12.82%"
"11/01/2016","12.63","13.20","13.29","11.88","1.48B","-4.21%"
"10/01/2016","13.18","14.15","14.38","12.80","1.38B","-3.09%"
"09/01/2016","13.60","13.93","14.07","12.90","1.06B","-3.76%"
"08/01/2016","14.13","15.70","15.78","13.91","934.37M","-9.70%"
"07/01/2016","15.65","13.74","15.69","13.73","1.11B","10.60%"
"06/01/2016","14.15","14.77","16.06","12.52","1.83B","-4.91%"
"05/01/2016","14.88","16.10","16.21","13.58","1.55B","-7.28%"
"04/01/2016","16.05","16.32","17.96","15.55","2.03B","4.78%"
"03/01/2016","15.32","12.95","15.99","12.10","1.54B","19.72%"
"02/01/2016","12.80","12.58","13.30","9.40","2.01B","0.38%"
"01/01/2016","12.75","15.38","15.43","12.16","1.19B","-20.34%"
"12/01/2015","16.00","15.40","16.24","14.32","897.78M","4.23%"
"11/01/2015","15.35","13.93","15.64","13.72","1.18B","11.27%"
"10/01/2015","13.80","16.50","16.66","13.47","1.51B","-16.70%"
"09/01/2015","16.56","16.02","18.10","15.80","1.20B","-0.27%"
"08/01/2015","16.60","17.75","18.07","13.00","1.73B","-6.42%"
"07/01/2015","17.74","18.07","19.11","16.72","1.20B","-0.79%"
"06/01/2015","17.88","16.76","18.09","16.38","982.10M","6.96%"
"05/01/2015","16.72","15.33","16.86","14.68","1.34B","10.95%"
"04/01/2015","15.07","12.58","15.92","12.40","1.48B","19.75%"
"03/01/2015","12.58","13.51","13.75","12.09","1.84B","-7.17%"
"02/01/2015","13.56","13.60","15.03","12.89","1.60B","-0.13%"
"01/01/2015","13.57","14.86","14.88","12.33","1.35B","-8.46%"
"12/01/2014","14.83","16.08","16.16","12.84","1.91B","-9.04%"
"11/01/2014","16.30","16.20","17.33","15.23","1.62B","1.17%"
"10/01/2014","16.11","16.15","17.70","14.49","2.28B","-0.40%"
"09/01/2014","16.18","18.37","19.43","16.01","1.99B","-10.02%"
"08/01/2014","17.98","15.07","18.13","15.07","1.72B","20.78%"
"07/01/2014","14.89","16.16","16.23","14.24","1.62B","-6.98%"
"06/01/2014","16.00","13.82","16.30","13.28","1.85B","15.54%"
"05/01/2014","13.85","13.81","14.58","11.81","2.02B","-0.06%"
"04/01/2014","13.86","13.93","15.72","12.29","2.48B","-0.29%"
"03/01/2014","13.90","15.82","17.33","13.53","2.50B","-14.83%"
"02/01/2014","16.32","12.19","17.67","11.29","3.40B","34.99%"
"01/01/2014","12.09","9.99","12.40","9.11","2.77B","20.54%"
"12/01/2013","10.03","8.42","10.53","8.26","2.97B","18.14%"
"11/01/2013","8.49","10.87","12.10","7.74","4.63B","-20.36%"
"10/01/2013","10.66","12.93","12.95","10.20","3.88B","-17.30%"
"09/01/2013","12.89","11.56","12.97","10.57","2.57B","14.37%"
"08/01/2013","11.27","9.00","11.53","8.82","3.89B","25.92%"
"07/01/2013","8.95","7.29","9.17","6.97","3.44B","25.00%"
"06/01/2013","7.16","6.51","7.35","5.88","2.69B","9.82%"
"05/01/2013","6.52","3.73","7.66","3.53","4.97B","81.11%"
"04/01/2013","3.60","2.82","3.88","2.68","1.22B","42.29%"
"03/01/2013","2.53","2.33","2.63","2.28","444.99M","9.05%"
"02/01/2013","2.32","2.54","2.67","2.25","663.90M","-7.20%"
"01/01/2013","2.50","2.33","2.58","2.14","426.96M","10.62%"
"12/01/2012","2.26","2.26","2.39","2.18","325.74M","0.44%"
"11/01/2012","2.25","1.88","2.29","1.88","356.46M","19.68%"
"10/01/2012","1.88","1.97","2.01","1.79","264.39M","-3.59%"
"09/01/2012","1.95","1.90","2.19","1.82","499.54M","2.63%"
"08/01/2012","1.90","1.87","2.09","1.70","367.23M","3.83%"
"07/01/2012","1.83","2.09","2.40","1.81","488.21M","-12.44%"
"06/01/2012","2.09","1.90","2.30","1.81","391.99M","6.09%"
"05/01/2012","1.97","2.21","2.31","1.79","512.78M","-10.86%"
"04/01/2012","2.21","2.49","2.56","2.07","341.43M","-10.89%"
"03/01/2012","2.48","2.23","2.66","2.17","332.48M","11.21%"
"02/01/2012","2.23","1.94","2.33","1.93","347.96M","14.95%"
"01/01/2012","1.94","1.93","2.00","1.51","384.24M","2.11%"
"12/01/2011","1.90","2.17","2.33","1.74","316.94M","-12.84%"
"11/01/2011","2.18","1.89","2.33","1.87","387.83M","11.22%"
"10/01/2011","1.96","1.66","2.00","1.53","324.95M","20.25%"
"09/01/2011","1.63","1.64","1.80","1.49","270.33M","-1.21%"
"08/01/2011","1.65","1.91","1.95","1.43","408.36M","-12.23%"
"07/01/2011","1.88","1.94","2.03","1.78","316.58M","-3.09%"
"06/01/2011","1.94","2.00","2.10","1.70","596.01M","-3.48%"
"05/01/2011","2.01","1.84","2.02","1.70","455.30M","9.24%"
"04/01/2011","1.84","1.83","1.88","1.61","448.75M","-0.54%"
"03/01/2011","1.85","1.60","1.91","1.45","488.52M","16.35%"
"02/01/2011","1.59","1.62","1.70","1.41","439.76M","-1.24%"
"01/01/2011","1.61","1.79","1.91","1.49","426.45M","-9.55%"
"12/01/2010","1.78","2.39","2.43","1.67","553.52M","-24.58%"
"11/01/2010","2.36","1.46","2.40","1.40","424.84M","61.64%"
"10/01/2010","1.46","1.38","1.46","1.33","98.29M","7.35%"
"09/01/2010","1.36","1.31","1.54","1.30","270.73M","4.62%"
"08/01/2010","1.30","1.37","1.48","1.16","225.76M","-2.26%"
"07/01/2010","1.33","1.67","1.73","1.00","969.51M","-16.35%"
