"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2022","159.10","160.31","183.85","154.85","586.55M","-1.33%"
"06/01/2022","161.25","196.51","202.03","154.25","686.38M","-16.73%"
"05/01/2022","193.64","201.16","224.30","176.11","680.55M","-3.41%"
"04/01/2022","200.47","224.55","236.86","169.00","672.30M","-9.84%"
"03/01/2022","222.36","209.87","231.15","185.82","733.29M","5.37%"
"02/01/2022","211.03","314.55","328.00","190.22","1.13B","-32.63%"
"01/01/2022","313.26","338.30","343.09","289.01","427.35M","-6.86%"
"12/01/2021","336.35","330.29","352.71","299.50","438.30M","3.66%"
"11/01/2021","324.46","326.04","353.83","323.20","441.12M","0.28%"
"10/01/2021","323.57","341.61","345.02","308.11","588.38M","-4.66%"
"09/01/2021","339.39","379.59","384.33","338.15","338.13M","-10.54%"
"08/01/2021","379.38","358.10","382.76","347.70","226.15M","6.48%"
"07/01/2021","356.30","346.82","377.55","334.50","335.42M","2.47%"
"06/01/2021","347.71","330.15","358.14","323.48","344.81M","5.77%"
"05/01/2021","328.73","326.17","333.78","298.19","353.42M","1.12%"
"04/01/2021","325.08","298.40","331.81","296.04","421.28M","10.37%"
"03/01/2021","294.53","260.82","299.70","253.50","497.46M","14.33%"
"02/01/2021","257.62","259.52","276.60","254.04","317.78M","-0.27%"
"01/01/2021","258.33","274.78","286.79","244.61","452.70M","-5.43%"
"12/01/2020","273.16","279.16","291.78","264.63","363.96M","-1.38%"
"11/01/2020","276.97","264.60","297.38","257.34","356.80M","5.27%"
"10/01/2020","263.11","265.35","285.24","254.82","454.18M","0.46%"
"09/01/2020","261.90","294.71","303.60","244.13","499.18M","-10.68%"
"08/01/2020","293.20","252.65","304.67","247.43","574.31M","15.58%"
"07/01/2020","253.67","228.50","255.85","226.90","517.67M","11.71%"
"06/01/2020","227.07","224.59","245.19","207.11","548.04M","0.88%"
"05/01/2020","225.09","201.60","240.90","198.76","509.64M","9.96%"
"04/01/2020","204.71","161.62","209.69","150.83","541.54M","22.73%"
"03/01/2020","166.80","194.03","197.24","137.10","649.51M","-13.34%"
"02/01/2020","192.47","203.44","218.76","181.82","317.64M","-4.68%"
"01/01/2020","201.91","206.75","224.20","201.06","348.10M","-1.63%"
"12/01/2019","205.25","202.13","208.93","193.17","278.23M","1.79%"
"11/01/2019","201.64","192.85","203.80","188.54","258.58M","5.21%"
"10/01/2019","191.65","179.15","198.09","173.09","330.15M","7.62%"
"09/01/2019","178.08","184.00","193.10","175.66","267.51M","-4.09%"
"08/01/2019","185.67","194.17","198.47","176.66","295.18M","-4.41%"
"07/01/2019","194.23","195.21","208.66","191.93","351.06M","0.64%"
"06/01/2019","193.00","175.00","194.53","160.84","426.43M","8.75%"
"05/01/2019","177.47","194.78","196.18","177.16","286.82M","-8.24%"
"04/01/2019","193.40","167.83","198.48","167.28","382.18M","16.02%"
"03/01/2019","166.69","162.60","174.30","159.28","388.17M","3.25%"
"02/01/2019","161.45","165.84","172.47","159.59","302.24M","-3.14%"
"01/01/2019","166.69","128.99","171.68","128.56","527.56M","27.16%"
"12/01/2018","131.09","143.00","147.19","123.02","558.79M","-6.77%"
"11/01/2018","140.61","151.52","154.13","126.85","518.15M","-7.37%"
"10/01/2018","151.79","163.03","165.88","139.03","622.45M","-7.70%"
"09/01/2018","164.46","173.50","173.89","158.87","500.47M","-6.41%"
"08/01/2018","175.73","173.93","188.30","170.27","549.02M","1.83%"
"07/01/2018","172.58","193.37","218.62","166.56","652.76M","-11.19%"
"06/01/2018","194.32","193.07","203.55","186.43","387.27M","1.32%"
"05/01/2018","191.78","172.00","192.72","170.23","401.14M","11.50%"
"04/01/2018","172.00","157.81","177.10","150.51","751.13M","7.64%"
"03/01/2018","159.79","179.01","186.10","149.02","996.23M","-10.39%"
"02/01/2018","178.32","188.22","195.32","167.18","516.62M","-4.59%"
"01/01/2018","186.89","177.68","190.66","175.80","495.66M","5.91%"
"12/01/2017","176.46","176.03","182.28","169.01","317.10M","-0.41%"
"11/01/2017","177.18","182.36","184.25","174.00","351.00M","-1.60%"
"10/01/2017","180.06","171.39","180.80","168.29","318.15M","5.38%"
"09/01/2017","170.87","172.40","174.00","161.56","304.83M","-0.64%"
"08/01/2017","171.97","169.82","173.05","165.00","303.62M","1.61%"
"07/01/2017","169.25","151.72","175.49","147.80","419.91M","12.10%"
"06/01/2017","150.98","151.75","156.50","144.56","414.76M","-0.32%"
"05/01/2017","151.46","151.74","153.60","144.42","403.66M","0.81%"
"04/01/2017","150.25","141.93","151.53","138.81","275.59M","5.77%"
"03/01/2017","142.05","136.47","142.95","136.08","342.10M","4.80%"
"02/01/2017","135.54","132.25","137.18","130.30","384.70M","4.01%"
"01/01/2017","130.32","116.03","133.14","115.51","379.00M","13.27%"
